Caption,Food Types,Post
"So glad you enjoyed it, Christina!  Love hearing feedback from people! 🙂

Did you know we're on Google and Yelp?  We encourage your reviews!

9 wins in a row, our Knights are killing it!  Go Knights Go! ❤💛🖤

We prep, you grill!🌶🔪🌮🥑",,https://www.instagram.com/p/COGP4wlMOol/
"Today's breakfast whoooo! I'm so ready to COOK baby!

unbroken.ego let's all transcend the ego. 
Thank you for all the support, much appreciated. It's only 
the start. We have to keep evolving, find a focus and aim for it. Unbroken Ego walking with a humbled 
Expression. Growth. Observation. Sending out much 
love, follow and share. We need big changes . 

..Love is all we need, we are born and begin our lifes with love. 
Learn to love yourself and you will become a beacon of love. 

#egointegration 
#egodeath #selfcare #unbrokenego #unbroken #Style 
#lnstaFashion #Vintage #FashionBlogger #Fashionista #StreetStyle #Stylish #MensFashion #instagood 
#instagram #selfawareness #selflove  #godsplan #summerlinlv #lasvegasfoodies #FITNESS #faithoverfear",,https://www.instagram.com/p/COGMbkGFGZM/
"unbroken.ego let's all transcend the ego. 
Thank you for all the support, much appreciated. It's only 
the start. We have to keep evolving, find a focus and aim for it. Unbroken Ego walking with a humbled 
Expression. Growth. Observation. Sending out much 
love, follow and share. We need big changes . 

..Love is all we need, we are born and begin our lifes with love. 
Learn to love yourself and you will become a beacon of love. 

#egointegration 
#egodeath #selfcare #unbrokenego #unbroken #Style 
#lnstaFashion #Vintage #FashionBlogger #Fashionista #StreetStyle #Stylish #MensFashion #instagood 
#instagram #selfawareness #selflove  #godsplan #summerlinlv #lasvegasfoodies #FITNESS #faithoverfear",,https://www.instagram.com/p/COGLzsAlVfM/
What diet?  Sunday morning blueberry cream cheese scones with a cup of coffee...totally worth jumping off the wagon! 😋,"cheese,dessert",https://www.instagram.com/p/COGLaETrrou/
"NOTHING THAT A BIRRIA TACO CAN’T FIX ☺️🌮 Cheese or Nah? 

⏰ 8am - 5pm
📍3700 E Charleston Blvd Suite 150, Las Vegas, NV 89104 

🚨 COMING SOON @birriaelcompalacruda 3111 S Valley View, Las Vegas 

.
#birriaelcompa #birriadechivo #huffposttaste #tastethis #devourpower #vegaslocal #lasvegasfoodies #foodlty #foodyeating goatbirria #tacosdebirria #beefbirria #complex #eatfamous #thrillist #foodlty #foodyfetish #foodyeating #foodbeast #tastemade #forkyeah #infatuation #birriaderes #birrieria",,https://www.instagram.com/p/COGJmWINrbH/
"SO MANY BENEDICTS FOR EATING AT GRIDDLECAKES!
.
.
📸: CRAB BENEDICT•
Homemade Crab cakes• Home Fries• Hollandaise Sauce• Parsley• Poached Eggs•
📸:STRAWBERRY CHEESECAKE GRIDDLECAKES (Available only for the month of April)
📸: BIRTHDAY CAKE STYLE WAFFLES•
(Customized Waffle order)
.
.
Enjoy Breakfast/Lunch at one of our Three Locations/Hours:
📍Eastern: 7am-3pm
📍N. Decatur: 7am-3pm
📍Fort Apache: 7am-3pm
📍4010 S. Rainbow Blvd STE# B 
(Coming soon 2021)
.
Ordering curbside? Simply call in your order & we will bring it out to your car!
.
TAG YOUR HUNGRY SQUAD!👇🏼.
.
#offthestrip #griddlecakes #bestoflasvegas #cheesecakelovers #lasvegasfood #dessertbae #onlyvegas #vegaseats #strawberrycheesecake #offthestrip #cheesecakepancakes #onlyinvegas  #lasvegaslocals #lasvegasfoodies #vegasfoodie #eatlikealocal","cheese,fruity,dessert",https://www.instagram.com/p/COGJSPPsTTE/
"SMOOTHIE SUNDAY has finally graced us! 

Y’all know the deal. BOGO 50% OFF smoothies all day! 

We have something for everyone so it shouldn’t be hard to find someone to take advantage of this offer with. You can also buy 2 for yourself and throw 1 in the freezer for tomorrow! 

Happy Sunday, family! 🤙🏻",,https://www.instagram.com/p/COGGF26shpE/
"unbroken.ego let's all transcend the ego. 
Thank you for all the support, much appreciated. It's only 
the start. We have to keep evolving, find a focus and aim for it. Unbroken Ego walking with a humbled 
Expression. Growth. Observation. Sending out much 
love, follow and share. We need big changes . 

..Love is all we need, we are born and begin our lifes with love. 
Learn to love yourself and you will become a beacon of love. 

#egointegration 
#egodeath #selfcare #unbrokenego #unbroken #Style 
#lnstaFashion #Vintage #FashionBlogger #Fashionista #StreetStyle #Stylish #MensFashion #instagood 
#instagram #selfawareness #selflove  #godsplan #summerlinlv #lasvegasfoodies #FITNESS #faithoverfear",,https://www.instagram.com/p/COGDSrolHz8/
"unbroken.ego let's all transcend the ego. 
Thank you for all the support, much appreciated. It's only 
the start. We have to keep evolving, find a focus and aim for it. Unbroken Ego walking with a humbled 
Expression. Growth. Observation. Sending out much 
love, follow and share. We need big changes . 

..Love is all we need, we are born and begin our lifes with love. 
Learn to love yourself and you will become a beacon of love. 

#egointegration 
#egodeath #selfcare #unbrokenego #unbroken #Style 
#lnstaFashion #Vintage #FashionBlogger #Fashionista #StreetStyle #Stylish #MensFashion #instagood 
#instagram #selfawareness #selflove  #godsplan #summerlinlv #lasvegasfoodies #FITNESS #faithoverfear🙏",,https://www.instagram.com/p/COGC7fIFG4S/
"unbroken.ego let's all transcend the ego. 
Thank you for all the support, much appreciated. It's only 
the start. We have to keep evolving, find a focus and aim for it. Unbroken Ego walking with a humbled 
Expression. Growth. Observation. Sending out much 
love, follow and share. We need big changes . 

..Love is all we need, we are born and begin our lifes with love. 
Learn to love yourself and you will become a beacon of love. 

#egointegration 
#egodeath #selfcare #unbrokenego #unbroken #Style 
#lnstaFashion #Vintage #FashionBlogger #Fashionista #StreetStyle #Stylish #MensFashion #instagood 
#instagram #selfawareness #selflove  #godsplan #summerlinlv #lasvegasfoodies #FITNESS #faithoverfear",,https://www.instagram.com/p/COGCNYeFFC5/
